# Adapted from https://simplemaps.com/data/world-cities
Florida Ridge;27.5805
Sgamna;32.7333
Kampel;22.6167
Silva Jardim;-22.6508
Vulcăneşti;45.6833
Reutlingen;48.4833
Genoa;44.4111
Bor;37.8833
Xiaping;24.6168
Helsingborg;56.0500
Lakhminia;25.4126
Gikongoro;-2.4697
Santo Niño;11.9263
Keolāri;22.3697
Kotovsk;52.5833
Xovos;40.2197
Ban Tap Tao;19.7280
Jaruco;23.0428
Silivri;41.0736
Springfield;39.9281
Samrong;13.6421
Miribel;45.8244
Shlisselburg;59.9536
Deutsch-Wagram;48.2994
Sosnowiec;50.2833
Sungal;32.9392
Pfungstadt;49.8056
San Ignacio;9.7997
San Julián;13.6976
Bolu;40.7347
Manbij;36.5275
Burnley;53.7890
Salamína;37.9667
Cuitzeo del Porvenir;19.9686
Granada;37.1781
Cocorná;6.0569
Cuenca;40.0667
Jisr ash Shughūr;35.8126
Pingtang;22.7542
Beyləqan;39.7756
General Alvear;-36.0333
Moguer;37.2747
Nakhodka;67.7206
Sānwer;22.9742
Oregon;42.9253
Eastleigh;50.9667
Nawai;26.3824
Tupaciguara;-18.5928
Dobni Para;22.5200
Kogon Shahri;39.7275
Pordenone;45.9500
Morton;40.6135
Lençóis;-12.5628
Bloomingdale;36.5793
Cervelló;41.3962
Nadikūde;16.5941
Mátészalka;47.9500
Barahkurwa;26.1460
Borna;25.4373
Ghorāhī;28.0333
Uitgeest;52.5333
Yarmouth;41.6756
Kottapālem;17.4360
Sainte-Maxime;43.3089
Jiajin;25.6743
Cobh;51.8510
Kalat;29.0258
Masunga;-20.6667
Ilidža;43.8167
Fairmont;43.6441
Sint-Pieters-Leeuw;50.7833
Eppingen;49.1333
Newington;41.6870
Modra;48.3317
Toritama;-8.0067
Wieluń;51.2206
Barbacoas;9.4833
Southbridge;42.0604
Sollefteå;63.1667
Polāia Kalān;23.2119
Almuñécar;36.7339
Mettupālaiyam;11.2341
Valmontone;41.7833
Westminster;39.8837
Jiaozuo;35.2290
Tachiarai;33.3724
Araguari;-18.6489
Pedernales;0.0700
Santiago de Chuco;-8.1502
Beyne-Heusay;50.6167
Bois-des-Filion;45.6667
Lapinig;12.3150
Fort Mill;35.0061
Ostrov;50.3060
Manville;40.5420
Gaigirgordub;9.5586
Pandino;45.4000
Babhani Bholwa;26.0876
Nong Bua Lamphu;17.2042
Tiverton;41.6090
Žilina;49.2228
Göttingen;51.5339
Mŭ’minobod;38.1083
Vernon;50.2670
Moroto;2.5300
Neuilly-sur-Marne;48.8537
Bron;45.7394
Ébolowa;2.9167
Eerbeek;52.1053
Villa Carlos Paz;-31.4000
Sayama;35.8530
Keshwāri;24.1878
Nagdha Simla;24.6143
Brawley;32.9783
Worsborough;53.5200
Papraur;25.4413
Shaliuhe;39.8728
Lingolsheim;48.5575
Leander;30.5728
Kerpen;50.8719
Cabarete;19.7511
Glen Cove;40.8709
Maraú;-14.1028
Medford;39.8639
Jakar;27.5500
Kilkenny;52.6477
Marale;14.9167
South El Monte;34.0493
Pak Tin Pa;22.3364
Nanakuli;21.3892
Bibai;43.3329
Beverly;42.5681
Hujiachi;37.8917
Nāttarasankottai;9.8690
Sunninghill;51.4025
Cimitarra;6.3167
Daga;27.0667
Kulusuk;65.5753
Pamplona;13.5925
Bānki;20.3791
Hima;0.2906
La Grita;8.1333
Byaroza;52.5500
Phulwāria;25.4697
Sonhauli;25.5108
Miyoshi;34.0260
Mesa;33.4015
Arroyomolinos;40.2667
Hanover Park;41.9818
Rečica;46.3247
Cawayan;9.9667
